E_Cr_split_feature_1,DOC_split_feature_2,1/RT_split_feature_3,ln(t)_split_feature_4,ln(t)_linear_feature,lnWg_linear_target,slope,intercept,PearsonR(+)
10.38,8000,0.155570132,4.605170186,4.605170186,5.191845122,0.5376482199415995,2.82773585546457,0.9711326428693162
10.38,8000,0.155570132,5.521460918,5.521460918,5.969730055,0.5376482199415995,2.82773585546457,0.9711326428693162
10.38,8000,0.155570132,6.214608098,6.214608098,6.193792959,0.5376482199415995,2.82773585546457,0.9711326428693162
10.38,8000,0.155570132,6.907755279,6.907755279,6.455355784,0.5376482199415995,2.82773585546457,0.9711326428693162
11.022,0,0.130291987,5.298317367,5.298317367,6.234410726,0.1122586213691532,5.652384687672164,0.9635097917005836
11.022,0,0.130291987,5.991464547,5.991464547,6.336825731,0.1122586213691532,5.652384687672164,0.9635097917005836
11.022,0,0.130291987,6.396929655,6.396929655,6.398594935,0.1122586213691532,5.652384687672164,0.9635097917005836
11.022,0,0.130291987,6.684611728,6.684611728,6.381816017,0.1122586213691532,5.652384687672164,0.9635097917005836
11.022,0,0.130291987,6.907755279,6.907755279,6.421622268,0.1122586213691532,5.652384687672164,0.9635097917005836
16.73,0,0.155570132,5.298317367,5.298317367,4.875197323,0.3014205055247295,3.300939186054868,0.9924663715004096
16.73,0,0.155570132,5.991464547,5.991464547,5.141663557,0.3014205055247295,3.300939186054868,0.9924663715004096
16.73,0,0.155570132,6.396929655,6.396929655,5.241747015,0.3014205055247295,3.300939186054868,0.9924663715004096
16.73,0,0.155570132,6.684611728,6.684611728,5.308267697,0.3014205055247295,3.300939186054868,0.9924663715004096
16.73,0,0.155570132,6.907755279,6.907755279,5.365976015,0.3014205055247295,3.300939186054868,0.9924663715004096
17.0882,0,0.146120449,4.700480366,4.700480366,4.789157022,0.3187528016770836,3.293529352937865,0.999220277330808
17.0882,0,0.146120449,6.131226489,6.131226489,5.257495372,0.3187528016770836,3.293529352937865,0.999220277330808
17.0882,0,0.146120449,6.396929655,6.396929655,5.323058758,0.3187528016770836,3.293529352937865,0.999220277330808
17.0882,0,0.146120449,6.65929392,6.65929392,5.429345629,0.3187528016770836,3.293529352937865,0.999220277330808
17.0882,0,0.146120449,6.907755279,6.907755279,5.484801083,0.3187528016770836,3.293529352937865,0.999220277330808
11.16,8000,0.155570132,4.605170186,4.605170186,5.206202078,0.5405624293460646,2.820391649374348,0.9706251364700522
