,E_Cr_split_feature_1,DOC_split_feature_2,1/RT_split_feature_3,ln(t)_split_feature_4,ln(t)_linear_feature,lnWg_linear_target,slope,intercept,PearsonR(+)
0,16.73,0.0,0.155570132,5.298317367,5.298317367,4.875197323,0.30744275862490794,3.313227269822869,0.9693746785835042
1,16.73,0.0,0.155570132,5.991464547,5.991464547,5.141663557,0.30744275862490794,3.313227269822869,0.9693746785835042
2,16.73,0.0,0.155570132,6.396929655,6.396929655,5.241747015,0.30744275862490794,3.313227269822869,0.9693746785835042
3,16.73,0.0,0.155570132,6.684611728,6.684611728,5.308267697,0.30744275862490794,3.313227269822869,0.9693746785835042
4,16.73,0.0,0.155570132,6.907755279,6.907755279,5.365976015,0.30744275862490794,3.313227269822869,0.9693746785835042
5,17.0882,0.0,0.146120449,4.700480366,4.700480366,4.789157022,0.30744275862490794,3.313227269822869,0.9693746785835042
6,17.0882,0.0,0.146120449,6.131226489,6.131226489,5.257495372,0.30744275862490794,3.313227269822869,0.9693746785835042
7,17.0882,0.0,0.146120449,6.396929655,6.396929655,5.323058758,0.30744275862490794,3.313227269822869,0.9693746785835042
8,17.0882,0.0,0.146120449,6.65929392,6.65929392,5.429345629,0.30744275862490794,3.313227269822869,0.9693746785835042
9,17.0882,0.0,0.146120449,6.907755279,6.907755279,5.484801083,0.30744275862490794,3.313227269822869,0.9693746785835042
