,E_Cr_split_feature_1,DOC_split_feature_2,1/RT_split_feature_3,ln(t)_split_feature_4,ln(t)_linear_feature,lnWg_linear_target,slope,intercept,PearsonR(+)
0,11.43,8000.0,0.155570132,4.605170186,4.605170186,5.067015628,0.5573840552923124,2.611991692927908,0.9714461694878095
1,11.43,8000.0,0.155570132,5.521460918,5.521460918,5.832761856,0.5573840552923124,2.611991692927908,0.9714461694878095
2,11.43,8000.0,0.155570132,6.214608098,6.214608098,6.160996329,0.5573840552923124,2.611991692927908,0.9714461694878095
3,11.43,8000.0,0.155570132,6.907755279,6.907755279,6.345811784,0.5573840552923124,2.611991692927908,0.9714461694878095
