E_Cr,DOC,1/RT,ln(t),lnWg
10.38,8000,0.155570132,4.605170186,5.191845122
10.38,8000,0.155570132,5.521460918,5.969730055
10.38,8000,0.155570132,6.214608098,6.193792959
10.38,8000,0.155570132,6.907755279,6.455355784
11.022,0,0.130291987,5.298317367,6.234410726
11.022,0,0.130291987,5.991464547,6.336825731
11.022,0,0.130291987,6.396929655,6.398594935
11.022,0,0.130291987,6.684611728,6.381816017
11.022,0,0.130291987,6.907755279,6.421622268
11.16,8000,0.155570132,4.605170186,5.206202078
11.16,8000,0.155570132,5.521460918,5.921310287
11.16,8000,0.155570132,6.214608098,6.291383937
11.16,8000,0.155570132,6.907755279,6.430203232
11.43,8000,0.155570132,4.605170186,5.067015628
11.43,8000,0.155570132,5.521460918,5.832761856
11.43,8000,0.155570132,6.214608098,6.160996329
11.43,8000,0.155570132,6.907755279,6.345811784
11.81,8000,0.155570132,4.605170186,5.177279038
11.81,8000,0.155570132,5.521460918,5.809042985
11.81,8000,0.155570132,6.214608098,6.079704336
11.81,8000,0.155570132,6.907755279,6.303168275
12.951,200,0.146120449,5.298317367,5.711396746
12.951,200,0.146120449,5.991464547,5.988625521
12.951,200,0.146120449,6.396929655,6.135053938
12.951,200,0.146120449,6.684611728,6.255565764
12.951,200,0.146120449,6.907755279,6.39486085
14.11,8000,0.155570132,4.605170186,4.864452784
14.11,8000,0.155570132,5.521460918,5.691709893
14.11,8000,0.155570132,6.214608098,6.017375929
14.11,8000,0.155570132,6.907755279,6.258624984
16.73,0,0.155570132,5.298317367,4.875197323
16.73,0,0.155570132,5.991464547,5.141663557
16.73,0,0.155570132,6.396929655,5.241747015
16.73,0,0.155570132,6.684611728,5.308267697
16.73,0,0.155570132,6.907755279,5.365976015
17.0882,0,0.146120449,4.700480366,4.789157022
17.0882,100,0.146120449,5.298317367,5.198552278
17.0882,300,0.146120449,5.298317367,5.323107535
17.0882,2000,0.146120449,5.298317367,5.602118821
17.0882,8000,0.137753018,5.298317367,6.433422292
17.0882,8000,0.130291987,5.298317367,7.094898526
17.0882,100,0.146120449,5.991464547,5.424950017
17.0882,300,0.146120449,5.991464547,5.48147191
17.0882,2000,0.146120449,5.991464547,5.765191103
17.0882,8000,0.137753018,5.991464547,6.7310181
17.0882,8000,0.130291987,5.991464547,7.296074228
17.0882,0,0.146120449,6.131226489,5.257495372
17.0882,0,0.146120449,6.396929655,5.323058758
17.0882,100,0.146120449,6.396929655,5.599162426
17.0882,300,0.146120449,6.396929655,5.760477818
17.0882,2000,0.146120449,6.396929655,5.865050622
17.0882,8000,0.137753018,6.396929655,6.89060912
17.0882,8000,0.130291987,6.396929655,7.367708572
17.0882,0,0.146120449,6.65929392,5.429345629
17.0882,100,0.146120449,6.684611728,5.60583883
17.0882,300,0.146120449,6.684611728,5.811140993
17.0882,2000,0.146120449,6.684611728,5.899897354
17.0882,8000,0.137753018,6.684611728,6.979982913
17.0882,8000,0.130291987,6.684611728,7.455356321
17.0882,0,0.146120449,6.907755279,5.484801083
17.0882,100,0.146120449,6.907755279,5.687314282
17.0882,300,0.146120449,6.907755279,5.799698531
17.0882,2000,0.146120449,6.907755279,5.996452089
17.0882,8000,0.137753018,6.907755279,7.077076024
17.0882,8000,0.130291987,6.907755279,7.535883823
17.269,8,0.166326554,3.401197382,4.248495242
17.269,8,0.155570132,3.912023005,5.192956851
17.269,8,0.146120449,3.912023005,5.075173815
17.269,8,0.166326554,4.605170186,4.788324729
17.269,8,0.155570132,4.605170186,5.164785974
17.269,8,0.146120449,4.605170186,5.645446898
17.269,8,0.155570132,5.010635294,5.298317367
17.269,8,0.166326554,5.298317367,4.976733742
17.269,8,0.155570132,5.298317367,5.348059458
17.269,8,0.146120449,5.298317367,6.042632834
17.269,8,0.155570132,5.598421959,5.438079309
17.269,8,0.166326554,5.703782475,5.081404365
17.269,8,0.146120449,5.736572297,6.216606101
17.269,8,0.155570132,5.940171253,5.521460918
17.269,8,0.166326554,5.991464547,5.204116571
17.269,8,0.146120449,5.991464547,6.289715571
17.269,8,0.166326554,6.214608098,5.347583608
17.269,8,0.155570132,6.214608098,5.481055503
17.269,8,0.146120449,6.214608098,6.336825731
18.0596,25,0.155570132,3.401197382,4.858454546
18.0596,25,0.155570132,5.768320996,5.157790608
24.255,10,0.130291987,7.313220387,4.99653637
27.636,200,0.146120449,5.298317367,5.475031565
27.636,200,0.146120449,5.991464547,5.745522448
27.636,200,0.146120449,6.396929655,5.867020312
27.636,200,0.146120449,6.684611728,5.994263127
27.636,200,0.146120449,6.907755279,6.13179372
