Cr,Si,Mn,C,Ni,Mo,Nb,W,V,P,Cu,Temperature,Pressure,ExposureTime,OxygenConcentration,weightgain
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,550,31,600,10,211
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,550,31,1000,10,234.7
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,550,31,1500,10,254.8
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,600,31,100,10,351
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,600,31,300,10,500.1
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,600,31,600,10,638.1
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,600,31,1000,10,745.7
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,600,31,1500,10,781.1
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,650,31,300,10,111.561
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,650,31,600,10,129.41
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,650,31,1000,10,136.36
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,650,31,1500,10,147.9
8.37,0.28,0.45,0.1,0.21,0.9,0.076,0,0.216,0.009,0.17,500,25,505,25,187
8.37,0.28,0.45,0.1,0.21,0.9,0.076,0,0.216,0.009,0.17,500,25,333,25,173
8.37,0.28,0.45,0.1,0.21,0.9,0.076,0,0.216,0.009,0.17,500,25,172,25,120.3
8.37,0.28,0.45,0.1,0.21,0.9,0.076,0,0.216,0.009,0.17,500,25,503,2,163
8.37,0.28,0.45,0.1,0.21,0.9,0.076,0,0.216,0.009,0.17,500,25,335,2,181.02
8.37,0.28,0.45,0.1,0.21,0.9,0.076,0,0.216,0.009,0.17,500,25,168,2,118
8.37,0.28,0.45,0.1,0.21,0.9,0.076,0,0.22,0.009,0.17,650,20.7,500,2000,818
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,500,25,350,10,121.01
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,500,25,680,10,151
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,500,25,1000,10,183
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,500,25,1300,10,191
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,500,25,2000,10,272.02
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0.012,0,500,25,350,10,122.01
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0.012,0,500,25,680,10,151
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0.012,0,500,25,1000,10,202.01
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0.012,0,500,25,1300,10,232
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0.012,0,500,25,2000,10,281
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,360,25,320,25,20.89296131
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,360,25,630,25,5.12861384
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,400,25,30,25,17.7827941
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,400,25,320,25,20.41737945
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,400,25,400,25,25.70395783
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,500,25,30,25,107.1519305
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,500,25,320,25,169.8243652
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,500,25,630,25,177.827941
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,600,25,320,25,549.5408739
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,600,25,630,25,602.5595861
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.016,1.02,600,25,1000,25,646.01
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0,0,360,25,320,25,10.47128548
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0,0,500,25,30,25,128.8249552
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0,0,500,25,320,25,173.7800829
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0,0,500,25,630,25,182.01
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0,0,600,25,320,25,646.02
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0,0,600,25,630,25,831.7637711
11.94,0.3,0.69,0.21,0.62,1.03,0,0.48,0.3,0.013,0.02,500,25,168,2000,141
11.94,0.3,0.69,0.21,0.62,1.03,0,0.48,0.3,0.013,0.02,500,25,335,2000,202.02
11.94,0.3,0.69,0.21,0.62,1.03,0,0.48,0.3,0.013,0.02,500,25,503,2000,223
11.94,0.3,0.69,0.21,0.62,1.03,0,0.48,0.3,0.013,0.02,500,25,172,25,72
11.94,0.3,0.69,0.21,0.62,1.03,0,0.48,0.3,0.013,0.02,500,25,333,25,121.02
11.94,0.3,0.69,0.21,0.62,1.03,0,0.48,0.3,0.013,0.02,500,25,505,25,122.02
11.94,0.3,0.69,0.21,0.62,1.03,0,0.48,0.3,0.013,0.02,500,25,172,25,57
11.94,0.3,0.69,0.21,0.62,1.03,0,0.48,0.3,0.013,0.02,500,25,333,25,137
11.94,0.3,0.69,0.21,0.62,1.03,0,0.48,0.3,0.013,0.02,500,25,505,25,144
11.75,0.15,0.45,0.095,0,0,0,2.75,0.2,0,0,500,24.8,200,0,129
11.75,0.15,0.45,0.095,0,0,0,2.75,0.2,0,0,500,24.8,400,0,162
11.75,0.15,0.45,0.095,0,0,0,2.75,0.2,0,0,500,24.8,600,0,181
11.75,0.15,0.45,0.095,0,0,0,2.75,0.2,0,0,500,24.8,800,0,198
11.75,0.15,0.45,0.095,0,0,0,2.75,0.2,0,0,500,24.8,1000,0,207
9,0.15,0.45,0.115,0,0,0,2,0.2,0,0,500,24.8,200,0,131
9,0.15,0.45,0.115,0,0,0,2,0.2,0,0,500,24.8,400,0,171
9,0.15,0.45,0.115,0,0,0,2,0.2,0,0,500,24.8,600,0,189
9,0.15,0.45,0.115,0,0,0,2,0.2,0,0,500,24.8,800,0,202
9,0.15,0.45,0.115,0,0,0,2,0.2,0,0,500,24.8,1000,0,214
11.25,0.225,0.9,0.135,0,0,0,2.4,0.015,0.005,0,650,25,200,0,510
11.25,0.225,0.9,0.135,0,0,0,2.4,0.015,0.005,0,650,25,400,0,565
11.25,0.225,0.9,0.135,0,0,0,2.4,0.015,0.005,0,650,25,600,0,601
11.25,0.225,0.9,0.135,0,0,0,2.4,0.015,0.005,0,650,25,800,0,591
