,E_Cr_split_feature_1,DOC_split_feature_2,1/RT_split_feature_3,ln(t)_split_feature_4,ln(t)_linear_feature,lnWg_linear_target,slope,intercept,PearsonR(+)
0,11.16,8000.0,0.155570132,4.605170186,4.605170186,5.206202078,0.5405624293460646,2.820391649374348,0.9706251364700522
1,11.16,8000.0,0.155570132,5.521460918,5.521460918,5.921310287,0.5405624293460646,2.820391649374348,0.9706251364700522
2,11.16,8000.0,0.155570132,6.214608098,6.214608098,6.291383937,0.5405624293460646,2.820391649374348,0.9706251364700522
3,11.16,8000.0,0.155570132,6.907755279,6.907755279,6.430203232,0.5405624293460646,2.820391649374348,0.9706251364700522
